rank,method,kpi,similarity,causality_raw,causality,score
1,kpiroot_combined,cpu__paymentservice,1.0,0.0,0.0,0.9
2,kpiroot_combined,memory__paymentservice,0.3333333333333333,0.22717438806727788,5.867290002742397e-05,0.3000058672900027
3,kpiroot_combined,cpu__adservice,0.23076923076923078,0.04188142283807852,1.0816820311879169e-05,0.2076933893743389
4,kpiroot_combined,cpu__productcatalogservice,0.06666666666666667,3871.879316704911,1.0,0.15999999999999998
5,kpiroot_combined,cpu__cartservice,0.14285714285714285,35.64594652617514,0.009206368176916975,0.12949206538912025
6,kpiroot_combined,memory__currencyservice,0.06666666666666667,2.316211106668295,0.0005982136624649402,0.06005982136624649
7,kpiroot_combined,memory__emailservice,0.0,154.83188716196304,0.03998882054354157,0.003998882054354156
8,kpiroot_combined,memory__redis-cart,0.0,122.48487982452713,0.031634477680147724,0.003163447768014772
9,kpiroot_combined,memory__shippingservice,0.0,61.19815201548708,0.015805800493691163,0.0015805800493691158
10,kpiroot_combined,memory__recommendationservice,0.0,11.266593712023191,0.0029098514675843282,0.0002909851467584328
11,kpiroot_combined,memory__checkoutservice,0.0,4.116413006118341,0.0010631563304048268,0.00010631563304048265
12,kpiroot_combined,cpu__frontend,0.0,3.200943624659249,0.0008267157529546533,8.267157529546531e-05
13,kpiroot_combined,cpu__emailservice,0.0,0.8928270412259397,0.0002305926833447286,2.3059268334472854e-05
14,kpiroot_combined,cpu__checkoutservice,0.0,0.7860534747436349,0.0002030160060393077,2.0301600603930767e-05
15,kpiroot_combined,cpu__shippingservice,0.0,0.7322938462207867,0.00018913137169884506,1.89131371698845e-05
16,kpiroot_combined,cpu__currencyservice,0.0,0.5076187818421121,0.0001311039782805295,1.3110397828052947e-05
17,kpiroot_combined,memory__adservice,0.0,0.4913862616538068,0.0001269115645040279,1.2691156450402786e-05
18,kpiroot_combined,cpu__redis-cart,0.0,0.4355192491933513,0.00011248265081877387,1.1248265081877384e-05
19,kpiroot_combined,memory__cartservice,0.0,0.3130932196242312,8.086337254196321e-05,8.08633725419632e-06
20,kpiroot_combined,memory__productcatalogservice,0.0,0.21190476629819197,5.472917644512987e-05,5.472917644512986e-06
21,kpiroot_combined,cpu__recommendationservice,0.0,0.04637305668942732,1.1976885872799418e-05,1.1976885872799416e-06
22,kpiroot_combined,memory__frontend,0.0,0.00518389925850811,1.3388586870831936e-06,1.3388586870831932e-07
