rank,method,kpi,similarity,causality_raw,causality,score
1,causality_only,memory__paymentservice,0.45454545454545453,300.56626335965694,1.0,1.0
2,causality_only,memory__productcatalogservice,0.6,260.0411373108013,0.8651707427311515,0.8651707427311515
3,causality_only,cpu__cartservice,0.06666666666666667,167.6834056799136,0.5578916402845385,0.5578916402845385
4,causality_only,memory__redis-cart,0.14285714285714285,67.70540498742861,0.22525949596150271,0.22525949596150271
5,causality_only,memory__adservice,0.23076923076923078,39.3676417186886,0.13097824512520678,0.13097824512520678
6,causality_only,memory__emailservice,0.0,26.64131832632684,0.08863708797034182,0.08863708797034182
7,causality_only,memory__currencyservice,0.06666666666666667,19.073186936248188,0.06345751090974988,0.06345751090974988
8,causality_only,cpu__shippingservice,0.0,14.992075524716709,0.04987943542678049,0.04987943542678049
9,causality_only,cpu__emailservice,0.14285714285714285,4.819147971500359,0.01603356250842356,0.01603356250842356
10,causality_only,cpu__productcatalogservice,0.06666666666666667,4.726481435877953,0.015725255998615698,0.015725255998615698
11,causality_only,memory__checkoutservice,0.06666666666666667,4.201580987906502,0.013978884193263227,0.013978884193263227
12,causality_only,cpu__redis-cart,0.0,4.0757798418727935,0.013560337066158761,0.013560337066158761
13,causality_only,memory__shippingservice,0.3333333333333333,3.8109216392136216,0.012679139689917494,0.012679139689917494
14,causality_only,cpu__frontend,0.06666666666666667,3.293485059190346,0.010957600571589659,0.010957600571589659
15,causality_only,memory__frontend,0.0,2.9789376519640496,0.009911084559744677,0.009911084559744677
16,causality_only,cpu__adservice,0.0,2.8386583029635295,0.009444367678639954,0.009444367678639954
17,causality_only,cpu__recommendationservice,0.14285714285714285,1.8201071605595294,0.00605559366581868,0.00605559366581868
18,causality_only,cpu__checkoutservice,0.06666666666666667,0.9920331273874383,0.0033005471615434505,0.0033005471615434505
19,causality_only,memory__recommendationservice,0.6,0.547944782186047,0.0018230415352050874,0.0018230415352050874
20,causality_only,cpu__currencyservice,0.06666666666666667,0.3200673360547729,0.001064881109666588,0.001064881109666588
21,causality_only,memory__cartservice,0.06666666666666667,0.13617197363241956,0.0004530514240364862,0.0004530514240364862
22,causality_only,cpu__paymentservice,1.0,1.4493035179855619e-15,0.0,0.0
