series_name,timestamp,value,labels_json
memory__adservice,1780591238,88096768,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591253,88096768,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591268,88117248,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591283,88117248,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591298,88023040,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591313,88162304,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591328,88162304,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591343,88264704,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591358,88268800,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591373,88174592,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591388,88178688,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591403,88178688,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780591418,88178688,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__cartservice,1780591223,51384320,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591238,51384320,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591253,51412992,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591268,51425280,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591283,51425280,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591298,51421184,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591313,51421184,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591328,51421184,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591343,51646464,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591358,51384320,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591373,51421184,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591388,51380224,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591403,51351552,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780591418,51351552,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__checkoutservice,1780591223,8966144,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591238,8970240,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591253,8974336,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591268,8974336,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591283,8982528,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591298,8990720,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591313,8990720,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591328,8994816,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591343,8990720,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591358,8990720,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591373,8990720,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
memory__checkoutservice,1780591388,8736768,"{""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
