series_name,timestamp,value,labels_json
restart__loadgenerator__main,1780591238,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591253,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591268,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591283,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591298,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591313,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591328,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591343,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591358,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591373,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591388,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591403,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__loadgenerator__main,1780591418,0,"{""container"": ""main"", ""pod"": ""loadgenerator-5b6c64c487-kr4rt""}"
restart__redis-cart__redis,1780591238,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591253,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591268,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591283,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591298,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591313,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591328,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591343,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591358,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591373,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591388,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591403,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__redis-cart__redis,1780591418,0,"{""container"": ""redis"", ""pod"": ""redis-cart-7fb96f6f78-7xs2h""}"
restart__adservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__adservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""adservice-584964d9f6-4ktgx""}"
restart__cartservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__cartservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""cartservice-546966d459-t6ggv""}"
restart__checkoutservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__checkoutservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""checkoutservice-76fb956bfd-dkpwp""}"
restart__currencyservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__currencyservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""currencyservice-5f4487b75d-tdg4h""}"
restart__emailservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__emailservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""emailservice-d48fd9b84-trjcc""}"
restart__frontend__server,1780591238,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591253,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591268,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591283,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591298,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591313,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591328,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591343,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591358,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591373,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591388,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591403,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__frontend__server,1780591418,0,"{""container"": ""server"", ""pod"": ""frontend-7b76648f6b-227tg""}"
restart__paymentservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__paymentservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""paymentservice-85698c8c59-sss44""}"
restart__productcatalogservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__productcatalogservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""productcatalogservice-7cc84874c9-c24xf""}"
restart__recommendationservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__recommendationservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""recommendationservice-5dd85b5857-mw2fd""}"
restart__shippingservice__server,1780591238,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591253,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591268,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591283,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591298,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591313,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591328,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591343,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591358,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591373,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591388,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591403,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
restart__shippingservice__server,1780591418,0,"{""container"": ""server"", ""pod"": ""shippingservice-7f85f8b767-6txwh""}"
