timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__paymentservice,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__paymentservice,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780598755,0.01300372820113713,0.079996771,1,0.0022598538887571742,0.00821278128677438,0.0008717528555593305,0.010013483920179206,0.0019936431948831923,0.01300372820113713,0.0038140118877574686,0.0005979193098196716,0.0065100624566275375,0.005053149554911598,0.00241497799907364,0.0009054771037000346,0,0,0,0,0,0,0,0,0,0,91807744,52707328,9375744,85667840,43446272,15130624,49995776,76115968,9326592,42446848,5693440,9019392,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598770,0.017184261244876212,0.017762474,1,0.0014914638577244838,0.00821278128677438,0.001019496372767865,0.009263000718519857,0.0020335617160325177,0.017184261244876212,0.003894188524946804,0.0005679650238473795,0.006649388562716897,0.005385094119224127,0.002415273706725753,0.0011704710730445999,0,0,0,0,0,0,0,0,0,0,91820032,52707328,9383936,85594112,43442176,14966784,50003968,76406784,9326592,42446848,5693440,9023488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598785,0.016454364279105013,0.017961513,1,0.0024007260541746875,0.008096362649294394,0.0007614093609924,0.007923332955960706,0.001980538922155684,0.016454364279105013,0.0035463551483802783,0.0004494769959958128,0.007365401655738093,0.005790484364104539,0.0023403406009328445,0.001048890626527224,0,0,0,0,0,0,0,0,0,0,91828224,52670464,9383936,86044672,43442176,14839808,50003968,76640256,9326592,42446848,5693440,9027584,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598800,0.016689066157981595,0.067469872,1,0.002543353908800061,0.008614868964720211,0.0008127355055254846,0.008047588644396171,0.0021417002994401886,0.016689066157981595,0.003598435155412671,0.0005078893790296127,0.007887112668345294,0.006020436557717432,0.002428085700978075,0.0011515905492381498,0,0,0,0,0,0,0,0,0,0,91828224,52813824,9383936,86265856,43442176,15093760,50012160,76804096,9334784,42446848,5693440,9039872,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598815,0.01684195500987347,0.015776195,1,0.002381139658389471,0.007929180526156767,0.0001294151970130653,0.008469827393961177,0.002174795106307151,0.01684195500987347,0.0037815899019738833,0.0004896557607815275,0.008318988887532025,0.006516087433103326,0.002517014687161577,0.0013219987160282705,0,0,0,0,0,0,0,0,0,0,91828224,52842496,9383936,86138880,43442176,15089664,50012160,77033472,9543680,42446848,5693440,9031680,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598830,0.018418354893824818,0.071930021,1,0.0024513835014223708,0.009367326630040291,0.0016881188118811452,0.009294659012218844,0.002194206506603659,0.018418354893824818,0.00409154037441948,0.00039179024689366967,0.008318988887532025,0.006180618954734635,0.0024926423071952534,0.0014163848718133087,0,0,0,0,0,0,0,0,0,0,91828224,52842496,9392128,85696512,43716608,15085568,50012160,77033472,9543680,42430464,5701632,9097216,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598845,0.01886262247708479,0.077131949,1,0.002501744471035948,0.009398067534580853,0.00037218390548375904,0.009106223688702002,0.002097041170896095,0.01886262247708479,0.004095572664120101,0.0004952108730219179,0.008440396700707042,0.006339594828788193,0.0025033207881337226,0.0013985477264264157,0,0,0,0,0,0,0,0,0,0,91840512,52813824,9388032,86310912,43442176,15110144,50020352,76619776,9527296,42430464,5693440,9117696,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598860,0.020235059197738266,0.016979736,1,0.002525229968654552,0.010544920853273259,0.0004121736513598213,0.009358551810237118,0.0022710217915363692,0.020235059197738266,0.003898284602688038,0.0004964141832624867,0.007977606440274518,0.005695622414665309,0.0025067173938890094,0.0012167639674521163,0,0,0,0,0,0,0,0,0,0,92102656,52842496,9388032,86020096,43442176,15130624,50020352,76619776,9633792,42430464,5693440,9117696,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598875,0.018204117442668647,0.015898189,1,0.0025047427180391875,0.00973002633889386,0.0008682467577501897,0.008751615305166594,0.0023051686564335384,0.018204117442668647,0.003760831404075597,0.0008132461901831848,0.008396093163035412,0.006499835724455178,0.002523666304046405,0.0012019347299168882,0,0,0,0,0,0,0,0,0,0,91840512,52842496,9388032,85950464,43442176,15294464,50032640,76955648,9375744,42430464,5955584,8826880,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780598890,0.018627955384494584,0.015968517,1,0.0026288242618285546,0.009108308126638308,0.0010050535837184116,0.009178210989390171,0.002298334525390769,0.018627955384494584,0.0038695267699234703,0.0009287774395130025,0.008057126892990716,0.006493018503802973,0.00247830055218362,0.0010502472656390958,0,0,0,0,0,0,0,0,0,0,91963392,52813824,9388032,86405120,43442176,15372288,50036736,77266944,9179136,42430464,5693440,8826880,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
