timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780600484,0.01579655886570012,0.015676985,1,0.00259825436408981,0.00672569570871282,0.00060539220981225,0.00641551919413457,0.001951708766716238,0.01579655886570012,0.0037130653459264517,0.0009182787541619265,0.006834063227042721,0.005478164601686426,0.0022128717922555246,0.0008977076984232408,0,0,0,0,0,0,0,0,92168192,52895744,9547776,95629312,43446272,15200256,50520064,24739840,9666560,42479616,5693440,8982528,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600499,0.016397025933856713,0.014209711,1,0.002766529137672675,0.007178295431899225,0.0007929408564368751,0.00840707325084832,0.0019942514423276847,0.016397025933856713,0.003888735128883,0.0003514812775330418,0.007834113300492817,0.005763984112125988,0.0022093584905660173,0.0011966543052811395,0,0,0,0,0,0,0,0,92180480,52895744,9547776,95457280,43446272,15261696,50520064,24739840,9666560,42487808,5693440,9252864,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600514,0.017682745052655855,0.021777349,1,0.0023234418231355847,0.00863762637110844,0.001074505449683888,0.00938015437215091,0.0020590440487347965,0.017682745052655855,0.003822843419372955,0.0004996983879355154,0.007024852916996878,0.00583359113173491,0.0022514383969313633,0.001286253081103562,0,0,0,0,0,0,0,0,92176384,52842496,9547776,95350784,43446272,15417344,50532352,25083904,9666560,42479616,5693440,9396224,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600529,0.01756387237906572,0.015685065,1,0.0023663615330450113,0.007652450587119834,0.0010286125291651563,0.007556803736423937,0.0017226327068862886,0.01756387237906572,0.003715278452716358,0.0005840024162492729,0.007677303410186821,0.0057981732339053215,0.0023894187810402146,0.0012306633315882253,0,0,0,0,0,0,85.1152255678158,0,92176384,52846592,9547776,95993856,43446272,15261696,50532352,25313280,9601024,42479616,5693440,9433088,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600544,0.016937620674290547,0.019816033,1,0.002249020718297237,0.00756453384042643,0.0008054287867887998,0.00921411608245481,0.0020902846794319863,0.016937620674290547,0.003443153964217936,0.00035186788187418865,0.006507125407165826,0.0054482060185185,0.0023827767710760035,0.0010074535311682287,0,0,0,0,0,0,88.35965139356286,0,92176384,52846592,9547776,95993856,43446272,15740928,50532352,25432064,9605120,42491904,5693440,9474048,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600559,0.01660813515050689,0.019898481,1,0.002443013779196754,0.006186271228980142,0.0008156777639988495,0.008957366759306523,0.0020198745366410303,0.01660813515050689,0.0034152019876690642,0.000722556355370337,0.006726646842071021,0.005309004309367357,0.0023202541903015587,0.0010385434008387208,0,0,0,0,0,0,87.34592911673136,0,92307456,52834304,9297920,95473664,43446272,15151104,50544640,24870912,9605120,42479616,5693440,8912896,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600574,0.017556002009040825,0.015412409,1,0.0020706393077491053,0.0070518589655643405,0.0009257571755590787,0.00917647058823532,0.002078131888079223,0.017556002009040825,0.0037050372368498214,0.0007657913413768655,0.007089362372494142,0.005575264863145968,0.0022477118644067865,0.0010384561073193703,0,0,0,0,0,0,0,0,92307456,52801536,9297920,96104448,43446272,15429632,50552832,25083904,9555968,42745856,5693440,8888320,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600589,0.01795742285237728,0.021505339,1,0.002464189042875704,0.006337374183758235,0.001341663702122597,0.0053565000000002526,0.0020673459379937803,0.01795742285237728,0.0039041157465934495,0.0008091721651066436,0.0076726570010399835,0.005601672378341529,0.0023117103202694414,0.001297511657297278,0,0,0,0,0,0,0,0,92307456,52801536,9306112,96104448,43446272,15269888,50552832,25387008,9760768,42745856,5693440,8912896,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600604,0.0179516595631915,0.070334795,1,0.0021859577715593994,0.008413004139709258,0.0012581019584722907,0.008979603047600919,0.0022221240241566812,0.0179516595631915,0.003915443493921647,0.0006033180669197033,0.008026544562915685,0.005975966750993605,0.002390602700625737,0.0012366522056612471,0,0,0,0,0,0,0,0,92307456,52797440,9310208,96116736,43446272,15269888,50556928,25387008,9654272,42483712,5693440,8933376,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600619,0.01605872938996373,0.054579388,1,0.00227907824283029,0.00786447762697376,0.0011217296979279632,0.008154820869670844,0.0022567684805696255,0.01605872938996373,0.0035777915691985545,0.0005113884101903937,0.007893157316717922,0.00586306436119098,0.002405461815072805,0.001149646381407388,0,0,0,0,0,0,0,0,92188672,52809728,9310208,95719424,43446272,15011840,50561024,25800704,9850880,42479616,5693440,8937472,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
