series_name,timestamp,value,labels_json
memory__adservice,1780600484,92168192,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600499,92180480,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600514,92176384,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600529,92176384,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600544,92176384,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600559,92307456,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600574,92307456,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600589,92307456,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600604,92307456,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600619,92188672,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600634,92192768,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600649,92188672,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600664,92188672,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600679,92188672,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600694,92315648,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600709,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600724,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600739,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600754,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600769,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600784,92209152,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600799,92213248,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600814,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600829,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600844,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600859,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600874,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600889,92332032,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600904,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600919,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600934,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600949,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600964,92323840,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600979,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780600994,92467200,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601009,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601024,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601039,92205056,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601054,92209152,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601069,92332032,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601084,92332032,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601099,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601114,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601129,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601144,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601159,92327936,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601174,92209152,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601189,92221440,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601204,92221440,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601219,92225536,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601234,92225536,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601249,92487680,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601264,92225536,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601279,92225536,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601294,92258304,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601309,92639232,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601324,92381184,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601339,92381184,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601354,92381184,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601369,92385280,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601384,92270592,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601399,92266496,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601414,92270592,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601429,92270592,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601444,92401664,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601459,92401664,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601474,92401664,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__adservice,1780601489,92401664,"{""pod"": ""adservice-584964d9f6-4ktgx""}"
memory__cartservice,1780600484,52895744,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600499,52895744,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600514,52842496,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600529,52846592,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600544,52846592,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600559,52834304,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600574,52801536,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600589,52801536,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600604,52797440,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600619,52809728,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600634,52805632,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600649,52871168,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600664,52871168,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600679,52871168,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600694,52912128,"{""pod"": ""cartservice-546966d459-t6ggv""}"
memory__cartservice,1780600709,52883456,"{""pod"": ""cartservice-546966d459-t6ggv""}"
