rank,method,kpi,similarity,causality_raw,causality,score
1,causality_only,fs_writes__redis-cart,0.09090909090909091,962.1900762347727,1.0,1.0
2,causality_only,cpu__adservice,0.058823529411764705,12.751272587359887,0.01325234265277186,0.01325234265277186
3,causality_only,memory__shippingservice,0.16129032258064516,7.886844663887416,0.008196763673504193,0.008196763673504193
4,causality_only,cpu__cartservice,0.2857142857142857,7.671350640233814,0.007972801663319188,0.007972801663319188
5,causality_only,cpu__frontend,0.125,7.556068557872741,0.00785298949189024,0.00785298949189024
6,causality_only,cpu__loadgenerator,0.058823529411764705,3.0469266933517414,0.0031666577827064338,0.0031666577827064338
7,causality_only,memory__currencyservice,0.16129032258064516,2.897313564555248,0.003011165502655119,0.003011165502655119
8,causality_only,cpu__currencyservice,0.2,2.79446871128177,0.002904279289822901,0.002904279289822901
9,causality_only,memory__adservice,0.02857142857142857,2.537413980750569,0.002637123416071736,0.002637123416071736
10,causality_only,memory__loadgenerator,0.16129032258064516,2.421712754902891,0.0025168756306233157,0.0025168756306233157
11,causality_only,memory__paymentservice,1.0,2.087986979077012,0.0021700358698851776,0.0021700358698851776
12,causality_only,cpu__productcatalogservice,0.16129032258064516,1.8351517301149676,0.0019072652851464165,0.0019072652851464165
13,causality_only,memory__redis-cart,0.16129032258064516,1.8317107043477052,0.0019036890418944307,0.0019036890418944307
14,causality_only,cpu__emailservice,0.09090909090909091,1.7670557418636874,0.0018364934179933563,0.0018364934179933563
15,causality_only,memory__cartservice,0.02857142857142857,1.445739987839871,0.0015025513394373352,0.0015025513394373352
16,causality_only,cpu__checkoutservice,0.125,0.9088696541898981,0.0009445843151349796,0.0009445843151349796
17,causality_only,memory__productcatalogservice,0.16129032258064516,0.7475374414563956,0.0007769124416473365,0.0007769124416473365
18,causality_only,cpu__recommendationservice,0.2,0.7013090788734001,0.0007288675036202311,0.0007288675036202311
19,causality_only,cpu__redis-cart,0.125,0.556169531519794,0.0005780245974851316,0.0005780245974851316
20,causality_only,memory__checkoutservice,0.125,0.4963326911136187,0.0005158364270975009,0.0005158364270975009
21,causality_only,cpu__paymentservice,0.02857142857142857,0.3861113682108901,0.0004012838811659892,0.0004012838811659892
22,causality_only,cpu__shippingservice,0.09090909090909091,0.3849534115086611,0.000400080421755183,0.000400080421755183
23,causality_only,memory__frontend,0.16129032258064516,0.12974379220678445,0.0001348421641537755,0.0001348421641537755
24,causality_only,memory__emailservice,0.0,0.04788471197099739,4.976637480858006e-05,4.976637480858006e-05
25,causality_only,memory__recommendationservice,0.0,0.02749038866888212,2.8570642483089838e-05,2.8570642483089838e-05
26,causality_only,fs_reads__shippingservice,0.02857142857142857,1.4738426282927427e-15,0.0,0.0
