rank,method,kpi,similarity,causality_raw,causality,score
1,similarity_only,cpu__frontend,1.0,0.26328970798969054,0.020123998221544048,1.0
2,similarity_only,memory__frontend,0.6666666666666666,0.7821705617649971,0.06027882581364848,0.6666666666666666
3,similarity_only,cpu__paymentservice,0.25,2.3866252138150847,0.18444336081944412,0.25
4,similarity_only,cpu__checkoutservice,0.17647058823529413,12.92525159116591,1.0,0.17647058823529413
5,similarity_only,cpu__currencyservice,0.17647058823529413,0.15976367097439653,0.012112389896826198,0.17647058823529413
6,similarity_only,cpu__shippingservice,0.1111111111111111,9.68397405912349,0.7491660377708099,0.1111111111111111
7,similarity_only,memory__productcatalogservice,0.1111111111111111,3.7922415217388754,0.2932203181780821,0.1111111111111111
8,similarity_only,fs_writes__redis-cart,0.1111111111111111,0.8223167370491836,0.06338563296463462,0.1111111111111111
9,similarity_only,cpu__adservice,0.05263157894736842,1.9000174267625172,0.14678606116788928,0.05263157894736842
10,similarity_only,memory__cartservice,0.05263157894736842,0.991775457554438,0.07649959863971756,0.05263157894736842
11,similarity_only,memory__adservice,0.05263157894736842,0.6498011380977939,0.05003510348866852,0.05263157894736842
12,similarity_only,memory__checkoutservice,0.05263157894736842,0.6028842218624189,0.046404326463697576,0.05263157894736842
13,similarity_only,memory__redis-cart,0.05263157894736842,0.533283794440317,0.04101813203556105,0.05263157894736842
14,similarity_only,cpu__redis-cart,0.05263157894736842,0.4726609047214225,0.03632668569082561,0.05263157894736842
15,similarity_only,memory__loadgenerator,0.05263157894736842,0.4367796698728269,0.03354993108781016,0.05263157894736842
16,similarity_only,memory__shippingservice,0.05263157894736842,0.3110970946380893,0.023823686414947354,0.05263157894736842
17,similarity_only,cpu__cartservice,0.05263157894736842,0.2839485153259291,0.021722729107082533,0.05263157894736842
18,similarity_only,cpu__emailservice,0.05263157894736842,0.12477356576666317,0.009404597478155549,0.05263157894736842
19,similarity_only,memory__currencyservice,0.05263157894736842,0.047708981919735216,0.003440771572236306,0.05263157894736842
20,similarity_only,memory__paymentservice,0.05263157894736842,0.029955477587661986,0.002066874461901251,0.05263157894736842
21,similarity_only,memory__recommendationservice,0.05263157894736842,0.014297025441325755,0.000855107942245421,0.05263157894736842
22,similarity_only,cpu__recommendationservice,0.05263157894736842,0.003247316956720199,0.0,0.05263157894736842
23,similarity_only,cpu__productcatalogservice,0.0,1.068602244338605,0.08244502205499256,0.0
24,similarity_only,cpu__loadgenerator,0.0,0.67086426472989,0.051665123583471896,0.0
